mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw,original_mirror_id,ring_index,group,mirror_width_m,mirror_height_m,installation_height_m,mirror_area_m2
322,-180.46335904502058,-213.6206131681394,183.24729724460596,0.6639488789841138,0.7513580176592393,0.9986666666666666,0.9703639044172259,0.9912760416666667,27.130775620595298,322,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
323,-182.54998595471858,-197.77110823707784,183.24729724460596,0.6745407311774556,0.7653285766355828,0.9965925925925927,0.9703639044172259,0.991015625,27.562151306792508,323,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
324,-183.24729724460596,-181.80005393922332,183.24729724460596,0.6840909862394143,0.7792878399056457,0.9928148148148149,0.9703639044172259,0.9915364583333334,27.96137702484507,324,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
325,-182.54998595471858,-165.82899964136882,183.24729724460593,0.693725295890265,0.7931201189433584,0.989111111111111,0.9703639044172259,0.9923828125,28.36302177692858,325,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
326,-180.46335904502058,-149.97949471030722,183.24729724460596,0.7025227905638598,0.806716312811216,0.9848888888888888,0.9703639044172259,0.9930338541666667,28.736923198511203,326,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
327,-177.00329700623453,-134.37216344875668,183.24729724460596,0.7124709003766331,0.8199742523929826,0.9823703703703704,0.9703639044172259,0.9936848958333333,29.14714514367952,327,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
328,-172.19613299971812,-119.1257870715817,183.24729724460596,0.7251159118103223,0.832798860928298,0.9840740740740741,0.9703639044172259,0.9936197916666667,29.636211751017818,328,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
329,-166.0784524462061,-104.35639970902677,183.24729724460596,0.7379383671716452,0.8451021920050883,0.9858518518518519,0.9703639044172259,0.9939453125,30.131689616678653,329,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
330,-158.696814588667,-90.17640531692044,183.24729724460596,0.7494561658004132,0.8568033832265666,0.9866666666666667,0.9703639044172259,0.9938151041666666,30.575592992518636,330,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
331,-150.1073981483515,-76.69372221470134,183.24729724460596,0.7591448278796462,0.867828550733257,0.9855555555555553,0.9703639044172259,0.9938151041666666,30.960136577313907,331,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
