mirror_id,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,azimuth_rad,centered_azimuth_feature,nominal_ring_count,actual_ring_count,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1214,1214,21,2,9,0.5625,0.370882466048795,0.10494891923141292,144,48,6.664689695527328,6.1529606543464785,146.76823765453472,195.6138430748682,5.132460252215359
1215,1215,21,2,9,0.5625,0.4145156973486532,0.08825252906806158,144,48,6.664689695527328,6.1529606543464785,163.09110978438505,188.85268806180244,5.132460252215359
1216,1216,21,2,9,0.5625,0.4581489286485114,0.06981379148130273,144,48,6.664689695527328,6.1529606543464785,179.1035287172681,181.38597448781297,5.132460252215359
1217,1217,21,2,9,0.5625,0.5017821599483697,0.049667805656122055,144,48,6.664689695527328,6.1529606543464785,194.77501390365873,173.2279156665682,5.132460252215359
1218,1218,21,2,9,0.5625,0.5454153912482278,0.027852920621561084,144,48,6.664689695527328,6.1529606543464785,210.07573378079556,164.39404092670816,5.132460252215359
1219,1219,21,2,9,0.5625,0.5890486225480862,0.004410662251159603,144,48,6.664689695527328,6.1529606543464785,224.9765625587566,154.90116605088474,5.132460252215359
1220,1220,21,2,9,0.5625,0.6326818538479444,-0.020614345783902976,144,48,6.664689695527328,6.1529606543464785,239.44913566305507,144.76736126596387,5.132460252215359
1221,1221,21,2,9,0.5625,0.6763150851478027,-0.0471744669585038,144,48,6.664689695527328,6.1529606543464785,253.46590372821973,134.01191684532137,5.132460252215359
1222,1222,21,2,9,0.5625,0.7199483164476609,-0.07521914257240814,144,48,6.664689695527328,6.1529606543464785,267.00018503957756,122.65530638871155,5.132460252215359
1223,1223,21,2,9,0.5625,0.7635815477475192,-0.10469498799163002,144,48,6.664689695527328,6.1529606543464785,280.026216323414,110.71914784960592,5.132460252215359
1224,1224,21,2,9,0.5625,0.8072147790473774,-0.13554589426911623,144,48,6.664689695527328,6.1529606543464785,292.51920178882915,98.22616238419073,5.132460252215359
1225,1225,21,2,9,0.5625,0.8508480103472357,-0.1677131349513168,144,48,6.664689695527328,6.1529606543464785,304.4553603279348,85.20013110035427,5.132460252215359
1226,1226,21,2,9,0.5625,0.8944812416470939,-0.20113547786732655,144,48,6.664689695527328,6.1529606543464785,315.8119707845446,71.66584978899647,5.132460252215359
1227,1227,21,2,9,0.5625,0.9381144729469522,-0.23574930168780328,144,48,6.664689695527328,6.1529606543464785,326.5674152051871,57.649081723831785,5.132460252215359
1228,1228,21,2,9,0.5625,0.9817477042468101,-0.27148871703178323,144,48,6.664689695527328,6.1529606543464785,336.701219990108,43.176508619533394,5.132460252215359
1229,1229,21,2,9,0.5625,1.0253809355466685,-0.3082856918908641,144,48,6.664689695527328,6.1529606543464785,346.1940948659314,28.275679841572384,5.132460252215359
1230,1230,21,2,9,0.5625,-1.025380935546669,-0.3082856918908645,144,48,6.664689695527328,6.1529606543464785,-346.19409486593156,28.275679841572185,5.132460252215359
1231,1231,21,2,9,0.5625,-0.9817477042468099,-0.271488717031783,144,48,6.664689695527328,6.1529606543464785,-336.7012199901079,43.17650861953348,5.132460252215359
1232,1232,21,2,9,0.5625,-0.9381144729469518,-0.23574930168780306,144,48,6.664689695527328,6.1529606543464785,-326.56741520518705,57.64908172383193,5.132460252215359
1233,1233,21,2,9,0.5625,-0.8944812416470936,-0.20113547786732633,144,48,6.664689695527328,6.1529606543464785,-315.8119707845446,71.66584978899655,5.132460252215359
1234,1234,21,2,9,0.5625,-0.8508480103472353,-0.16771313495131657,144,48,6.664689695527328,6.1529606543464785,-304.45536032793467,85.20013110035433,5.132460252215359
1235,1235,21,2,9,0.5625,-0.8072147790473772,-0.13554589426911612,144,48,6.664689695527328,6.1529606543464785,-292.51920178882915,98.22616238419084,5.132460252215359
1236,1236,21,2,9,0.5625,-0.7635815477475191,-0.10469498799163002,144,48,6.664689695527328,6.1529606543464785,-280.026216323414,110.71914784960597,5.132460252215359
