mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,centered_azimuth_feature,mirror_width_m,mirror_height_m,installation_height_m,mirror_area_m2
860,152.28223928941344,95.77381520543793,316.60248456848166,0.7416053743788935,0.8902548725729994,0.9678518518518512,0.9568705832922572,0.9780598958333333,29.88515897901951,860,15,2,3,0.1875,0.20517052208302466,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
861,164.24490246130745,88.86716840292013,316.6024845684817,0.7393009754908704,0.8868007803325734,0.9678518518518513,0.9568705832922572,0.9783203125,29.789576860998302,861,15,2,3,0.1875,0.18335563704846358,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
862,175.89491612629638,81.44529115895477,316.6024845684817,0.7362442701311688,0.8830770532674788,0.9672592592592585,0.9568705832922572,0.9785807291666667,29.67470703570784,862,15,2,3,0.1875,0.15991337867806232,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
863,187.21010382122543,73.52231143870773,316.6024845684817,0.7328312331262529,0.8790881526362996,0.9666666666666663,0.9568705832922572,0.978515625,29.5379291051144,863,15,2,3,0.1875,0.13488837064299963,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
864,198.16892644320401,65.11331108438918,316.6024845684817,0.7287574184142067,0.8748389183494716,0.9657037037037033,0.9568705832922572,0.9786458333333333,29.37461869659976,864,15,2,3,0.1875,0.10832824946839881,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
865,208.75052325051254,56.23429710610995,316.6024845684817,0.7247705933963491,0.8703345768781562,0.9650370370370368,0.9568705832922572,0.9785807291666667,29.219056763035553,865,15,2,3,0.1875,0.08028357385449447,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
866,218.9347515722096,46.9021712116278,316.60248456848177,0.7216238894973566,0.8655807496920498,0.9654814814814813,0.9568705832922572,0.9789713541666667,29.095539665204303,866,15,2,3,0.1875,0.05080772843527259,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
867,228.70222515085106,37.1346976329863,316.6024845684817,0.7165239197770286,0.8605834621972247,0.9646666666666661,0.9568705832922572,0.9787109375,28.907869555122375,867,15,2,3,0.1875,0.01995682215778638,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
868,238.0343510453332,26.950469311289282,316.6024845684817,0.7109921084789249,0.8553491531365878,0.9622962962962957,0.9568705832922572,0.979296875,28.70735625768147,868,15,2,3,0.1875,-0.012210418524414068,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
869,246.9133650236124,16.368872503980782,316.6024845684817,0.7066225666444222,0.8498846844063456,0.9634814814814808,0.9568705832922572,0.9791666666666666,28.531103162165774,869,15,2,3,0.1875,-0.04563276144042383,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
870,255.322365377931,5.410049882002141,316.6024845684817,0.7017596327769363,0.8441973512323204,0.9632592592592587,0.9568705832922572,0.9798177083333334,28.336378819710344,870,15,2,3,0.1875,-0.08024658526090067,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
871,263.245345098178,-5.905137812926824,316.6024845684817,0.6974441830626011,0.8382948926405379,0.9642222222222219,0.9568705832922572,0.9804036458333333,28.161978420290833,871,15,2,3,0.1875,-0.11598600060488062,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
872,270.66722234214336,-17.555151477915786,316.6024845684817,0.6934259613744373,0.8321855021477702,0.9652592592592588,0.9568705832922572,0.9813151041666667,28.002924580887324,872,15,2,3,0.1875,-0.15278297546396147,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
873,277.5738691446612,-29.51781464980982,316.6024845684817,0.6879252068009671,0.8258778385905011,0.9662222222222216,0.9568705832922572,0.9809244791666667,27.782942918721353,873,15,2,3,0.1875,-0.19056746470509528,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
874,283.9521383109949,-41.77035571934795,316.60248456848177,0.6825640447460367,0.8193810370058171,0.9670370370370366,0.9568705832922572,0.9810546875,27.5702649720922,874,15,2,3,0.1875,-0.22926754340548178,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
875,289.7898884432689,-54.28945127821534,316.6024845684817,0.6772075783728683,0.8127047194760736,0.9677037037037035,0.9568705832922572,0.9813802083333333,27.362547994828386,875,15,2,3,0.1875,-0.2688095437657458,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
876,295.07600705231073,-67.05127051647683,316.6024845684817,0.6730573249239201,0.8058590058515714,0.9702222222222219,0.9568705832922572,0.9813802083333333,27.193306615334084,876,15,2,3,0.1875,-0.30911819534078133,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
877,299.80043171090455,-80.03152058587803,316.60248456848166,0.6689891554407318,0.798854524272672,0.9728148148148145,0.9568705832922572,0.981640625,27.027887369742405,877,15,2,3,0.1875,-0.3501167683213213,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
