mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw
347,161.325,-12.697,161.8238840035673,0.6911709079995751,0.7756579026800451,0.9977777777777778,0.9725489852545072,0.9981770833333333,25.83195462500615
348,161.823,0.0,161.823,0.7001604731364922,0.7878056233852603,0.9956296296296296,0.9725490724664287,0.9977864583333333,26.16020500361327
349,175.186,6.555,175.30859254754174,0.6979548643834462,0.7874643899142447,0.9948888888888889,0.9712110320407631,0.9973307291666667,26.07365020651656
350,174.206,19.628,175.30826797387508,0.7059626402973096,0.7991599538409969,0.992148148148148,0.9712110644112342,0.9972005208333333,26.372811339534213
351,172.252,32.592,175.30827124810742,0.7144116520313943,0.8106637388114877,0.9900740740740741,0.9712110640846859,0.9973307291666667,26.68262291787397
352,169.335,45.373,175.30844632817895,0.721767045863561,0.8219114974500633,0.9871111111111109,0.971211046623553,0.9973307291666667,26.95788519045591
353,165.471,57.901,175.30880651581654,0.7267318838718395,0.8328453069859457,0.9809629629629628,0.9712110107012175,0.9975911458333333,27.156102987574116
354,160.681,70.105,175.3085702012312,0.7314883569510243,0.843409451876373,0.9746666666666667,0.9712110342694107,0.9977864583333333,27.350736820477845
355,154.993,81.916,175.30847413915848,0.7322466568780165,0.8535512126724665,0.9643703703703703,0.9712110438499,0.9977864583333333,27.404949064794838
356,148.438,93.27,175.308678461735,0.7280693565770835,0.8632243362092687,0.9471111111111109,0.971211023472343,0.9978515625,27.28113705059967
357,141.053,104.102,175.3087995880412,0.7254928082698764,0.8723836139698596,0.933259259259259,0.9712110113921407,0.998046875,27.19605672556235
358,132.879,114.352,175.30889465454968,0.7265677204620782,0.8809889244597198,0.9246666666666663,0.9712110019109373,0.9983072916666667,27.252718039391986
359,123.962,123.962,175.3087416188936,0.7283502884357798,0.8890028596876,0.9182962962962962,0.9712110171735361,0.9983723958333334,27.318887148376096
360,114.352,132.879,175.30889465454968,0.7303430085808699,0.8963919942385269,0.9133333333333334,0.9712110019109373,0.9985026041666667,27.39534489867079
361,104.102,141.053,175.3087995880412,0.7406181325513629,0.9031264895003109,0.9197037037037038,0.9712110113921407,0.9985677083333333,27.745213330540928
362,93.27,148.438,175.308678461735,0.7545747279300209,0.9091790003364675,0.9311851851851854,0.971211023472343,0.9985026041666667,28.241009013893272
363,81.916,154.993,175.30847413915848,0.7712215195770477,0.9145261187600613,0.9462962962962963,0.9712110438499,0.9985677083333333,28.83022754359689
364,70.105,160.681,175.3085702012312,0.7853219310009337,0.9191466220955893,0.9588148148148148,0.9712110342694107,0.9987630208333333,29.313474536455594
365,57.901,165.471,175.30880651581654,0.7985482701769758,0.9230238039758429,0.9705185185185187,0.9712110107012175,0.9988932291666667,29.767556762585887
366,45.373,169.335,175.30844632817895,0.8084241187612501,0.926142915192152,0.9789629629629629,0.971211046623553,0.9988932291666667,30.114820214413495
367,32.592,172.252,175.30827124810742,0.8163745997008902,0.9284921447726183,0.9856296296296296,0.9712110640846859,0.9989583333333333,30.393129164203206
368,19.628,174.206,175.30826797387508,0.8214988844866858,0.9300631350911162,0.9898518518518518,0.9712110644112342,0.998828125,30.577147311166154
369,6.555,175.186,175.30859254754174,0.8229303623371549,0.9308499378189213,0.9907407407407406,0.9712110320407631,0.9986979166666666,30.627860721332038
370,-6.555,175.186,175.30859254754174,0.823288231473996,0.9308499378189213,0.9907407407407406,0.9712110320407631,0.9991536458333333,30.64203949518596
371,-19.628,174.206,175.30826797387508,0.8218048586885538,0.9300631350911163,0.9898518518518518,0.9712110644112342,0.99921875,30.58930412503744
372,-32.592,172.252,175.30827124810742,0.816323906679686,0.9284921447726181,0.9856296296296296,0.9712110640846859,0.9988932291666667,30.39116306197878
373,-45.373,169.335,175.30844632817895,0.8082790567895617,0.9261429151921522,0.9789629629629629,0.971211046623553,0.9986979166666666,30.10930641694278
374,-57.901,165.471,175.30880651581654,0.7985000331784986,0.9230238039758428,0.9705185185185187,0.9712110107012175,0.998828125,29.76581795406726
375,-70.105,160.681,175.3085702012312,0.7851104020227896,0.9191466220955893,0.9588148148148146,0.9712110342694107,0.9985026041666667,29.304886775612633
376,-81.916,154.993,175.30847413915848,0.7711614453272451,0.9145261187600613,0.9462962962962962,0.9712110438499,0.9985026041666667,28.827640126835536
377,-93.27,148.438,175.308678461735,0.7545616690932742,0.9091790003364675,0.9311851851851853,0.971211023472343,0.9985026041666667,28.24025179319162
378,-104.102,141.053,175.3087995880412,0.740555946252486,0.9031264895003109,0.9197037037037038,0.9712110113921407,0.9985026041666667,27.742456943129742
379,-114.352,132.879,175.30889465454968,0.7299942183195031,0.896391994238527,0.9133333333333333,0.9712110019109373,0.998046875,27.3812981114553
380,-123.962,123.962,175.3087416188936,0.7279563419585426,0.8890028596875997,0.9182962962962962,0.9712110171735361,0.9978515625,27.30318976374214
381,-132.879,114.352,175.30889465454968,0.7262234983257468,0.8809889244597198,0.9246666666666662,0.9712110019109373,0.9978515625,27.23887559865523
382,-141.053,104.102,175.3087995880412,0.7253333284564166,0.8723836139698595,0.9332592592592592,0.9712110113921407,0.9978515625,27.189604755496713
383,-148.438,93.27,175.308678461735,0.7280634311860567,0.8632243362092687,0.9471111111111109,0.971211023472343,0.9978515625,27.28065288951966
384,-154.993,81.916,175.30847413915848,0.7321339363359876,0.8535512126724665,0.9643703703703704,0.9712110438499,0.99765625,27.400128285890503
385,-160.681,70.105,175.3085702012312,0.7311823568800129,0.8434094518763728,0.9746666666666667,0.9712110342694107,0.9973958333333334,27.338524405726314
386,-165.471,57.901,175.30880651581654,0.7264361605397952,0.8328453069859457,0.9809629629629629,0.9712110107012175,0.9972005208333333,27.144431421495604
387,-169.335,45.373,175.30844632817895,0.7215799801121562,0.8219114974500632,0.9871111111111112,0.971211046623553,0.9970703125,26.95029906838987
388,-172.252,32.592,175.30827124810742,0.7140997309021845,0.8106637388114878,0.9900740740740742,0.9712110640846859,0.996875,26.670131065496665
389,-174.206,19.628,175.30826797387508,0.7056116002941657,0.7991599538409969,0.992148148148148,0.9712110644112342,0.9966796875,26.35913507846197
390,-175.186,6.555,175.30859254754174,0.697396534608071,0.7874643899142447,0.9948888888888889,0.9712110320407631,0.9964192708333334,26.051965366058916
391,-175.186,-6.555,175.30859254754174,0.6892694957841906,0.7756430369467525,0.9977777777777778,0.9712110320407631,0.9966145833333333,25.751082625818533
